Gene stable ID	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Strand	Gene name
ENSGALG00000002192	8	2418766	2492350	-1	PTPRC
ENSGALG00000010992	1	41676490	41708448	-1	SLC6A15
ENSGALG00000049744	1	65844962	65845071	1	gga-mir-6608-1
ENSGALG00000015118	Z	34965606	35020664	1	SMC5
ENSGALG00000049909	1	65841753	65841862	1	gga-mir-6608-1
ENSGALG00000006015	5	10651664	10668952	-1	COPB1
ENSGALG00000049237	1	65838543	65838652	1	gga-mir-6608-1
ENSGALG00000050123	1	41592961	41593995	1	
ENSGALG00000053052	31	5758899	5760811	-1	
ENSGALG00000033920	17	608979	632013	-1	
ENSGALG00000001270	21	1802100	1841490	-1	PRKCZ
ENSGALG00000026796	25	3344702	3346187	1	SNAPIN
ENSGALG00000013356	26	2475894	2486807	1	IKBKE
ENSGALG00000053882	2	43462663	43500176	-1	
ENSGALG00000010805	8	25639131	25696695	-1	USP24
ENSGALG00000009907	5	34347159	34367234	1	G2E3
ENSGALG00000045473	31	5740385	5741625	-1	CHIR-B6
ENSGALG00000028567	20	485851	492652	-1	MYL9
ENSGALG00000014881	3	62755347	62817307	1	FAM184A
ENSGALG00000004093	4	1505219	1510377	1	TBX22
ENSGALG00000047924	10	688765	732499	1	
ENSGALG00000025424	Z	34934091	34934179	1	gga-mir-1416
ENSGALG00000041921	4	66225776	66250961	-1	CWH43
ENSGALG00000048246	21	1795181	1799996	1	
ENSGALG00000013858	2	97057241	97071814	1	CEP76
ENSGALG00000055001	31	5698446	5700571	1	
ENSGALG00000024081	20	479315	484154	-1	TGIF2
ENSGALG00000025269	21	1744561	1744667	-1	gga-mir-1635
ENSGALG00000010975	1	40888158	41131936	1	TMTC2
ENSGALG00000051127	20	454883	454965	1	
ENSGALG00000043998	8	25628193	25630483	1	BSND
ENSGALG00000001229	21	1681755	1772379	-1	SKI
ENSGALG00000021726	8	2387329	2387417	1	gga-mir-181b-1
ENSGALG00000015115	Z	34893638	34957995	1	MAMDC2
ENSGALG00000021730	8	2387140	2387243	1	gga-mir-181a-1
ENSGALG00000005998	5	10584558	10619955	-1	RRAS
ENSGALG00000016649	3	107134940	107158285	1	MTMR9
ENSGALG00000013742	3	52201415	52238151	-1	EZR
ENSGALG00000036359	33	6729804	6740831	1	RUVBL2
ENSGALG00000032887	31	5686719	5688541	-1	CHIR-B3
ENSGALG00000016896	1	147543882	147692199	1	ABCC4
ENSGALG00000025448	5	10458990	10459099	-1	gga-mir-1463
ENSGALG00000043607	18	5003097	5006173	1	CENPX
ENSGALG00000006677	13	17442199	17465935	-1	P4HA2
ENSGALG00000005685	19	9302652	9331188	1	
ENSGALG00000015195	28	3300429	3302247	1	RPS15
ENSGALG00000015351	1	87757880	87881272	-1	CBLB
ENSGALG00000038550	10	635399	798787	-1	
ENSGALG00000013863	2	97037931	97057122	-1	PSMG2
ENSGALG00000005986	5	10457958	10515004	-1	TUB
ENSGALG00000007485	9	15091718	15104420	1	TFRC
ENSGALG00000009240	7	15795206	15819376	1	NFE2L2
ENSGALG00000010130	4	34128059	34146657	1	INTS10
ENSGALG00000014878	3	62548908	62691253	1	MAN1A1
ENSGALG00000004107	4	1468938	1477971	-1	ITM2A
ENSGALG00000000816	26	2390184	2469702	1	
ENSGALG00000048865	10	519307	530171	-1	
ENSGALG00000051670	3	62253233	62253265	1	
ENSGALG00000042129	25	3329954	3344000	1	
ENSGALG00000042269	1	40772949	40828590	1	METTL25
ENSGALG00000004111	4	1453967	1459823	1	GPR174
ENSGALG00000032852	3	107124474	107124973	1	OvoDA3
ENSGALG00000049207	10	511145	511222	-1	gga-mir-7478
ENSGALG00000005971	5	10431294	10445037	1	RIC3
ENSGALG00000051783	6	36299339	36301375	-1	
ENSGALG00000015113	Z	34812638	34839726	-1	PTAR1
ENSGALG00000004113	4	1445083	1449667	1	
ENSGALG00000028648	1	40766561	40772837	-1	CCDC59
ENSGALG00000013867	2	97013090	97047494	1	PTPN2
ENSGALG00000004901	15	6818553	6868398	-1	CORO1C
ENSGALG00000015821	1	105351905	105363111	-1	CCT8
ENSGALG00000034458	25	3328411	3329269	1	S100A1
ENSGALG00000014876	3	61886381	61968901	1	TBC1D32
ENSGALG00000034655	6	36292713	36326373	1	ALDH18A1
ENSGALG00000021683	21	1561165	1568555	-1	RER1
ENSGALG00000020331	4	1435125	1442502	1	
ENSGALG00000046614	25	3323931	3324985	-1	S100A13
ENSGALG00000041248	3	107121338	107121833	-1	OvoDA1-2
ENSGALG00000034054	27	7422082	7426747	-1	
ENSGALG00000050187	25	336057	339221	-1	
ENSGALG00000047291	6	36284761	36286737	1	
ENSGALG00000034772	31	5674839	5682712	-1	
ENSGALG00000002182	8	1987324	2069077	-1	NR5A2
ENSGALG00000009236	7	15718776	15770328	-1	AGPS
ENSGALG00000001916	13	4953827	5426056	1	SLIT3
ENSGALG00000002877	18	4994148	5003643	-1	LRRC45
ENSGALG00000015111	Z	34714860	34792783	-1	APBA1
ENSGALG00000015813	1	105332806	105350716	1	USP16
ENSGALG00000036459	31	5671218	5675226	1	THAP7
ENSGALG00000009572	1	30046660	30129302	-1	ADAMTS20
ENSGALG00000017244	1	190099704	190104302	-1	PRSS23
ENSGALG00000016469	3	100204489	100205795	1	MSGN1
ENSGALG00000009224	7	15680124	15682118	1	TTC30B
ENSGALG00000007478	9	15076581	15078779	-1	SLC51A
ENSGALG00000036604	3	107117279	107117937	1	OVODB1
ENSGALG00000014873	3	61829237	61838470	-1	GJA1
ENSGALG00000053980	25	3320373	3324625	-1	
ENSGALG00000017376	8	1909179	1914835	1	
ENSGALG00000039264	2	141829134	141867820	-1	SLA
ENSGALG00000034960	19	365079	380126	-1	MLXIPL
ENSGALG00000004121	4	1395651	1409355	1	LPAR4
ENSGALG00000043081	3	17629538	17657173	1	WDR26
ENSGALG00000049236	22	1439289	1496589	1	PEBP4
ENSGALG00000012414	5	58397792	58403918	-1	GNPNAT1
ENSGALG00000008734	3	12111551	12286838	-1	PCSK2
ENSGALG00000000791	26	2384160	2390966	-1	
ENSGALG00000016468	3	100169561	100187161	1	GEN1
ENSGALG00000007268	12	13553845	13726591	-1	
ENSGALG00000032988	5	1132931	1136917	1	PCMT1L
ENSGALG00000017242	1	190012922	190017357	1	FZD4
ENSGALG00000003392	15	5299498	5328661	1	SBNO1
ENSGALG00000011038	2	32194366	32208181	1	CBX3
ENSGALG00000042374	7	15549638	15673377	1	PDE11A
ENSGALG00000033174	31	5654354	5657551	-1	ZBTB45
ENSGALG00000032768	1	65833774	66173568	1	SOX5
ENSGALG00000032737	3	107113853	107114863	-1	OvoDA1
ENSGALG00000004127	4	1364735	1369925	1	
ENSGALG00000049581	31	5652043	5654351	1	
ENSGALG00000004128	4	1346530	1359078	-1	CYSLTR1
ENSGALG00000037203	2	43386278	43407735	1	CTNNB1
ENSGALG00000000788	26	2366601	2368583	-1	AVPR1B
ENSGALG00000049008	3	107111503	107111964	-1	
ENSGALG00000041514	17	604426	608188	-1	
ENSGALG00000054235	3	107052719	107090156	-1	
ENSGALG00000015807	1	105326595	105330045	-1	RWDD2B
ENSGALG00000035679	5	10352793	10399602	1	LMO1
ENSGALG00000019114	1	147451550	147510983	-1	CLDN10
ENSGALG00000009900	5	34035437	34149368	-1	PRKD1
ENSGALG00000010125	4	34082296	34104242	-1	CSGALNACT1
ENSGALG00000050395	19	9281049	9328147	1	
ENSGALG00000048530	22	1423491	1424358	-1	
ENSGALG00000034204	27	7412912	7417642	-1	
ENSGALG00000002175	8	1849527	1897406	1	KIF14
ENSGALG00000040606	18	4988188	4993464	-1	RAC3
ENSGALG00000010958	1	40280597	40569224	-1	PPFIA2
ENSGALG00000013872	2	96985906	96998514	-1	SEH1L
ENSGALG00000014078	4	66184701	66219754	-1	DCUN1D4
ENSGALG00000049640	1	65728767	65728876	1	
ENSGALG00000039509	2	141763786	141794386	1	
ENSGALG00000001942	13	4874945	4897890	-1	SPDL1
ENSGALG00000001223	21	1554923	1563411	1	PEX10
ENSGALG00000049759	1	65725620	65725729	1	
ENSGALG00000045962	17	521821	523563	-1	
ENSGALG00000031263	19	360634	364590	-1	TBL2
ENSGALG00000007649	10	18896840	18905616	-1	TIPIN
ENSGALG00000046504	1	137694905	137705038	1	
ENSGALG00000005206	9	8222654	8263172	1	ACSL3
ENSGALG00000028924	25	3315453	3320307	-1	S100A16
ENSGALG00000052448	5	58381570	58394183	1	STYX
ENSGALG00000009556	1	29774813	29833578	-1	PRICKLE1
ENSGALG00000027809	13	4803069	4804484	1	INSYN2B
ENSGALG00000008735	3	12088678	12107322	1	BFSP1
ENSGALG00000051623	25	325146	332499	-1	
ENSGALG00000007184	12	13539675	13541861	-1	FEZF2
ENSGALG00000046826	33	6710500	6728373	-1	GYS1
ENSGALG00000015804	1	105298701	105326293	-1	LTN1
ENSGALG00000052622	1	65490399	65490508	1	
ENSGALG00000015110	Z	34698424	34709646	1	FAM189A2
ENSGALG00000036647	19	356636	360244	-1	BCL7B
ENSGALG00000035952	2	43164073	43170238	1	KIAA1143
ENSGALG00000010122	4	34067371	34079449	1	SH2D4A
ENSGALG00000051667	1	65487195	65487304	1	
ENSGALG00000048601	4	66168833	66177082	1	
ENSGALG00000025512	Z	34656766	34656851	1	gga-mir-1556
ENSGALG00000036364	5	33738911	33740749	1	FOXG1
ENSGALG00000040718	7	15544424	15546108	1	
ENSGALG00000055034	Z	34597613	34597652	1	
ENSGALG00000001207	21	1473954	1548181	-1	PLCH2
ENSGALG00000002849	18	4985113	4988234	1	DCXR
ENSGALG00000047448	8	25627286	25634615	1	PCSK9
ENSGALG00000025888	5	33274243	33274417	-1	
ENSGALG00000036645	2	43128699	43164052	-1	KIF15
ENSGALG00000004169	4	1297142	1332719	-1	
ENSGALG00000038598	31	5637353	5647299	-1	TRIM28
ENSGALG00000037599	25	3312351	3314646	-1	
ENSGALG00000013968	4	66162397	66168332	1	SGCB
ENSGALG00000016895	1	147415213	147447857	1	DZIP1
ENSGALG00000002744	6	7005075	7303413	1	PCDH15
ENSGALG00000015802	1	105292679	105296811	1	N6AMT1
ENSGALG00000035625	2	96924967	96981295	-1	CEP192
ENSGALG00000028074	5	33178294	33178377	-1	gga-mir-3532
ENSGALG00000032534	2	2173497	2346313	-1	
ENSGALG00000010517	6	36263377	36276087	1	TCTN3
ENSGALG00000010119	4	34029543	34062799	-1	CDKL2
ENSGALG00000002841	18	4976515	4983928	1	RFNG
ENSGALG00000014184	W	6650828	6715914	1	
ENSGALG00000030979	19	341313	352434	-1	MKS1
ENSGALG00000010801	8	25624594	25626958	1	TMEM61
ENSGALG00000016646	3	106942888	106966214	-1	
ENSGALG00000002080	13	4712213	4872139	-1	DOCK2
ENSGALG00000005958	5	10005768	10037297	1	
ENSGALG00000026613	25	3309972	3310726	-1	S100A4
ENSGALG00000047642	2	43123466	43127993	-1	TMEM42
ENSGALG00000010940	1	40199693	40276809	1	ACSS3
ENSGALG00000027781	1	105242139	105242284	-1	
ENSGALG00000028825	4	34026304	34026413	1	gga-mir-6668
ENSGALG00000004869	15	6812747	6820365	1	ISCU
ENSGALG00000017864	5	9993003	9993134	1	
ENSGALG00000043628	31	5630460	5636404	-1	UBE2M
ENSGALG00000013964	4	66145698	66161979	-1	SPATA18
ENSGALG00000047426	W	6639294	6641021	1	
ENSGALG00000051303	1	104821053	104821107	-1	
ENSGALG00000017863	5	9991965	9992096	1	
ENSGALG00000009308	3	17558062	17599394	-1	CNIH3
ENSGALG00000050657	1	104714440	104714688	1	
ENSGALG00000053124	31	5625400	5625491	-1	gga-mir-12291
ENSGALG00000041722	19	288961	335181	-1	STX1A
ENSGALG00000041826	25	3308021	3309315	-1	S100A6
ENSGALG00000053665	1	104712143	104712391	1	
ENSGALG00000002105	13	4697667	4701051	-1	FOXI1
ENSGALG00000000786	26	2355723	2358912	-1	CTSE
ENSGALG00000026991	W	6537641	6548025	1	
ENSGALG00000050583	1	104707560	104707808	1	
ENSGALG00000001172	21	1446518	1468998	-1	KBP
ENSGALG00000041139	3	106825944	106887182	-1	PINX1
ENSGALG00000052752	W	6510214	6511884	1	
ENSGALG00000048235	1	104705264	104705512	1	
ENSGALG00000038363	19	285302	285438	1	
ENSGALG00000047978	1	29739066	29739127	1	gga-mir-7447
ENSGALG00000037851	13	17430079	17432050	1	KK34
ENSGALG00000055068	1	104702968	104703216	1	
ENSGALG00000007651	7	7912708	7932691	-1	STAT1
ENSGALG00000013102	2	81067153	81215837	-1	COBL
ENSGALG00000028612	18	645073	662693	-1	
ENSGALG00000029332	5	1124770	1132730	-1	C5H15orf57
ENSGALG00000024272	25	3296971	3298411	-1	S100A12
ENSGALG00000005305	2	2162908	2166703	1	ACKR2
ENSGALG00000005948	5	9990843	9993911	1	RPL27A
ENSGALG00000010798	8	25608221	25616427	-1	DHCR24
ENSGALG00000015795	1	104379620	104419315	-1	ADAMTS5
ENSGALG00000013741	3	52171021	52200623	1	SYTL3
ENSGALG00000009207	4	19768464	19870165	1	TRIM2
ENSGALG00000032403	25	3293488	3294274	-1	MHM2
ENSGALG00000007474	9	15053018	15075192	1	PCYT1A
ENSGALG00000010789	8	25599268	25601076	-1	PARS2
ENSGALG00000052539	33	6705108	6707310	-1	
ENSGALG00000036846	27	7405857	7408187	-1	
ENSGALG00000009202	7	15530430	15541507	-1	RBM45
ENSGALG00000000769	26	2349209	2352491	-1	RAB7B
ENSGALG00000040342	1	104340407	104345964	-1	ADAMTS1
ENSGALG00000010939	1	40108427	40156885	-1	LIN7A
ENSGALG00000000745	26	2324250	2343007	-1	SLC26A9
ENSGALG00000047559	5	9843039	9988806	1	DENND2B
ENSGALG00000046704	4	1287464	1291897	-1	TAF9
ENSGALG00000041296	3	106816449	106818809	-1	
ENSGALG00000049517	31	5623408	5628232	-1	CHMP2A
ENSGALG00000050879	W	6438893	6439389	-1	
ENSGALG00000004310	14	3646453	3710836	-1	TTYH3
ENSGALG00000052499	3	106746846	106753823	-1	
ENSGALG00000037496	4	65987993	66011858	1	USP46
ENSGALG00000028091	1	40085112	40086326	1	MYF5
ENSGALG00000030775	2	2154713	2159697	-1	HIGD1C
ENSGALG00000052670	W	6416349	6416452	-1	U6
ENSGALG00000050596	31	5620861	5622867	-1	
ENSGALG00000049821	W	6391977	6392025	1	
ENSGALG00000039344	25	3288182	3290545	-1	
ENSGALG00000002113	13	4598169	4629140	1	LCP2
ENSGALG00000049534	W	6365841	6368324	-1	
ENSGALG00000053578	2	2140917	2146612	-1	
ENSGALG00000009850	5	33031679	33185933	-1	NOVA1
ENSGALG00000025339	4	65978903	65979020	-1	
ENSGALG00000002827	18	4966111	4976221	-1	GPS1
ENSGALG00000027722	9	15052590	15056735	1	
ENSGALG00000002710	6	5966532	5997073	1	IPMK
ENSGALG00000016642	3	106689077	106707066	1	
ENSGALG00000033171	2	43102691	43113228	-1	TGM4
ENSGALG00000039876	25	3283949	3287818	1	
ENSGALG00000044914	5	9828728	9834949	1	C11orf16
ENSGALG00000001437	24	1887297	2185646	1	NTM
ENSGALG00000054663	3	106523478	106523554	1	
ENSGALG00000009305	3	17507071	17520890	1	LBR
ENSGALG00000031013	31	5598840	5603322	1	DHDH
ENSGALG00000033205	2	141692967	141740812	1	PHF20L1
ENSGALG00000053764	1	104196793	104251356	-1	CYYR1
ENSGALG00000051885	8	25593422	25598867	-1	TTC4
ENSGALG00000035191	5	1117620	1118735	-1	PRLHR2
ENSGALG00000047269	1	189832689	189999103	-1	TMEM135
ENSGALG00000001046	20	338819	473635	1	DLGAP4
ENSGALG00000044592	31	5430421	5431759	-1	
ENSGALG00000009172	7	15434552	15516341	-1	OSBPL6
ENSGALG00000041266	30	392257	395386	1	CNN1
ENSGALG00000007643	10	18882001	18897191	1	DIS3L
ENSGALG00000040493	1	57668138	57738114	1	PTN
ENSGALG00000033137	11	16763730	16776095	-1	TLDC1
ENSGALG00000017933	5	32936567	32936721	1	U1
ENSGALG00000013948	4	65944536	65948246	-1	RASL11B
ENSGALG00000038420	3	61386544	61409041	-1	HSF2
ENSGALG00000037510	19	281710	286777	1	WBSCR22
ENSGALG00000050292	31	5415706	5417661	-1	
ENSGALG00000016894	1	147366070	147401831	-1	DNAJC3
ENSGALG00000039168	4	65762016	65941747	1	SCFD2
ENSGALG00000001165	21	1438217	1460034	1	PANK4
ENSGALG00000010513	6	36241945	36247511	1	OPNVA
ENSGALG00000010785	8	25581818	25591828	1	ACOT11
ENSGALG00000010936	1	40080215	40081940	1	MYF6
ENSGALG00000046559	9	15045849	15050281	-1	
ENSGALG00000049547	31	5396419	5402739	-1	
ENSGALG00000005303	2	2124989	2136868	-1	
ENSGALG00000002705	6	5951613	5961190	1	CISD1
ENSGALG00000047167	19	280862	282247	-1	DNAJC30
ENSGALG00000034115	18	4949928	4961301	1	DUS1L
ENSGALG00000002118	13	4533095	4541847	1	KCNMB1
ENSGALG00000035780	W	6346847	6447455	1	
ENSGALG00000047034	31	5308539	5311883	-1	
ENSGALG00000013886	2	96632938	96858886	-1	LDLRAD4
ENSGALG00000053999	19	274266	275675	1	VPS37D
ENSGALG00000049181	5	1094932	1096321	1	CHST14
ENSGALG00000013511	Z	24717663	24724746	1	ANKRA2
ENSGALG00000036725	5	9824339	9827275	1	ASCL3
ENSGALG00000001141	21	1435552	1437201	1	HES5
ENSGALG00000033314	19	267870	272209	1	
ENSGALG00000010500	6	36216483	36218976	-1	NKX6-2
ENSGALG00000044436	31	5292978	5386292	1	
ENSGALG00000009192	4	19319215	19321788	1	SLITRK2
ENSGALG00000025285	1	189595235	189595328	1	gga-mir-1657
ENSGALG00000053520	4	19636950	19638359	-1	
ENSGALG00000000584	26	380663	408134	1	
ENSGALG00000015109	Z	34597386	34662316	1	TJP2
ENSGALG00000048011	4	34025752	34049297	1	SCLT1
ENSGALG00000050935	W	6334524	6334572	1	
ENSGALG00000053933	W	5967073	5970279	-1	
ENSGALG00000001034	20	258118	263562	1	AAR2
ENSGALG00000027002	21	1428855	1430757	1	
ENSGALG00000023439	7	15407598	15417032	-1	PJVK
ENSGALG00000005908	5	9814177	9822449	1	TMEM9B
ENSGALG00000041833	19	260878	275236	-1	
ENSGALG00000005297	2	2107464	2119611	-1	HHATL
ENSGALG00000002164	8	1826039	1850680	1	DDX59
ENSGALG00000047956	7	15404379	15406352	1	
ENSGALG00000044343	31	5252578	5287083	-1	
ENSGALG00000053871	19	210220	211743	-1	
ENSGALG00000029266	2	43070481	43097452	1	ZDHHC3
ENSGALG00000007419	9	15017996	15035605	1	MASP1
ENSGALG00000034020	22	1422776	1431392	-1	RHOBTB2
ENSGALG00000008741	3	11998079	12006782	-1	PROKR1
ENSGALG00000039750	25	3276603	3308639	1	EDSC
ENSGALG00000048873	12	13519909	13533499	1	C3orf14
ENSGALG00000005217	9	8181677	8204484	1	MOGAT1
ENSGALG00000008940	5	25427166	25520280	-1	
ENSGALG00000013943	4	65720701	65758061	-1	
ENSGALG00000009847	5	32627667	32704945	-1	STXBP6
ENSGALG00000005903	5	9791730	9802780	1	NRIP3
ENSGALG00000001136	21	1417763	1419447	-1	
ENSGALG00000014868	3	61372227	61386774	1	SERINC1
ENSGALG00000044330	31	5252354	5272988	-1	
ENSGALG00000015108	Z	34582882	34592944	1	FXN
ENSGALG00000005292	2	2093895	2104170	-1	KLHL40
ENSGALG00000040704	W	5944392	6052596	1	SPIN1W
ENSGALG00000053841	W	5920195	5921577	-1	
ENSGALG00000009149	7	15401946	15406358	1	FKBP7
ENSGALG00000043735	31	5208704	5213525	1	
ENSGALG00000001425	24	1807038	1825266	-1	SNX19
ENSGALG00000025312	12	13251444	13251541	1	gga-mir-1550
ENSGALG00000043823	30	389402	392236	-1	ECSIT
ENSGALG00000052731	1	137682471	137691704	1	
ENSGALG00000021113	13	17424076	17425289	1	IL3
ENSGALG00000049690	4	18717690	18719237	1	
ENSGALG00000033675	5	1072537	1085377	1	BAHD1
ENSGALG00000018415	25	316897	321806	-1	
ENSGALG00000055035	4	18701837	18702761	1	
ENSGALG00000020160	4	59962436	59973183	-1	ADH6
ENSGALG00000034349	27	7394650	7402317	-1	
ENSGALG00000028018	1	189576307	189596533	1	RAB38
ENSGALG00000007361	9	14959957	14961612	1	SST
ENSGALG00000032318	25	3273089	3274112	1	
ENSGALG00000033792	19	202497	207056	-1	
ENSGALG00000002294	Z	72764590	72877720	1	SEMA6A
ENSGALG00000051334	1	137614511	137617543	1	
ENSGALG00000019979	3	52164989	52169351	-1	DYNLT1
ENSGALG00000003325	15	5287583	5295697	-1	
ENSGALG00000005668	19	9244014	9251499	1	WSB1
ENSGALG00000047517	30	385073	389140	-1	
ENSGALG00000049210	W	5871541	5874027	1	
ENSGALG00000032161	5	9744885	9778936	1	SCUBE2
ENSGALG00000046789	W	5861676	5863262	1	
ENSGALG00000010493	6	36003362	36214463	1	INPP5A
ENSGALG00000054415	19	195794	199108	-1	
ENSGALG00000010935	1	39965497	40063282	1	PTPRQ
ENSGALG00000001407	24	1706345	1715873	1	ADAMTS15
ENSGALG00000013887	2	96599127	96616410	1	FAM210A
ENSGALG00000000341	25	3270145	3271199	1	KRTAP10-4
ENSGALG00000051422	W	5800153	5801724	-1	
ENSGALG00000005287	2	2080866	2086418	1	ZBTB47
ENSGALG00000027036	3	61297796	61352281	-1	PKIB
ENSGALG00000001115	21	1390844	1412012	1	MMEL1
ENSGALG00000021213	6	5935568	5951420	-1	UBE2D1
ENSGALG00000054915	19	195794	200168	-1	
ENSGALG00000053189	W	5604194	5605288	-1	
ENSGALG00000038478	25	3266435	3267132	1	EDMPN2
ENSGALG00000052405	W	5431786	5433729	-1	
ENSGALG00000001370	24	1687768	1698988	-1	ADAMTS8
ENSGALG00000053993	5	32613495	32679071	1	
ENSGALG00000048776	19	185814	196304	-1	
ENSGALG00000030084	2	43050101	43070368	-1	EXOSC7
ENSGALG00000046331	31	4945555	4960499	-1	
ENSGALG00000029143	19	9209015	9209168	1	
ENSGALG00000010774	8	25524304	25575125	-1	SSBP3
ENSGALG00000002132	13	4271443	4451078	-1	KCNIP1
ENSGALG00000013100	2	80852532	80991947	-1	GRB10
ENSGALG00000008727	5	25395587	25420105	1	
ENSGALG00000000836	25	313422	315503	-1	RFX5
ENSGALG00000003321	15	5282073	5285226	1	RILPL2
ENSGALG00000049339	15	5278378	5278440	1	gga-mir-7476
ENSGALG00000005594	19	9182682	9186458	1	OMG
ENSGALG00000041858	27	7388618	7391528	-1	
ENSGALG00000012890	1	57435331	57641794	1	DGKI
ENSGALG00000044674	W	5423482	5424714	1	
ENSGALG00000054488	30	382389	383756	-1	
ENSGALG00000017239	1	189543239	189559491	1	CTSC
ENSGALG00000048911	1	137609030	137671133	1	
ENSGALG00000041382	25	3257329	3258034	1	EDCH2
ENSGALG00000047563	19	178254	179368	1	
ENSGALG00000001341	24	1652013	1665766	-1	ZBTB44
ENSGALG00000044996	2	141675678	141686073	-1	TMEM71
ENSGALG00000008752	5	25367151	25377869	1	
ENSGALG00000052923	2	80840972	80841081	-1	
ENSGALG00000038933	3	61282801	61286154	-1	FABP7
ENSGALG00000024034	25	295925	309861	-1	PI4KB
ENSGALG00000035589	19	9178482	9181084	1	
ENSGALG00000016893	1	147288623	147367495	1	UGGT2
ENSGALG00000051132	1	39941570	39961165	1	
ENSGALG00000047117	31	4934503	4937065	-1	
ENSGALG00000049073	W	5352446	5355433	1	
ENSGALG00000010491	6	35920340	35936635	1	PWWP2B
ENSGALG00000028032	3	106426632	106687390	1	MSRA
ENSGALG00000030268	2	2020319	2058934	1	NKTR
ENSGALG00000001081	21	1367733	1379691	1	
ENSGALG00000009135	7	15386468	15401754	-1	PLEKHA3
ENSGALG00000013889	2	96584306	96598993	-1	RNMT
ENSGALG00000033392	25	3254707	3255599	1	EDCH3
ENSGALG00000047995	31	4934288	4935615	-1	
ENSGALG00000030969	2	43035072	43041839	-1	CLEC3B
ENSGALG00000032087	2	96558292	96559269	-1	MC5R
ENSGALG00000002145	8	1766235	1826011	-1	CAMSAP2
ENSGALG00000009177	4	18668176	18696911	-1	FMR1
ENSGALG00000046353	2	80837736	80842053	-1	
ENSGALG00000041442	27	7380163	7390151	-1	
ENSGALG00000049415	2	80819769	80819855	1	
ENSGALG00000009845	5	32502596	32505180	1	GJD2
ENSGALG00000035743	11	16741738	16763431	1	
ENSGALG00000006653	13	17414871	17416684	1	CSF2
ENSGALG00000040267	5	1019913	1035629	1	IVD
ENSGALG00000047963	30	360298	362917	-1	MECP2
ENSGALG00000053299	33	6686124	6702978	-1	KCNC3
ENSGALG00000040270	25	287155	294351	1	ZNF687
ENSGALG00000001078	21	1263668	1264801	-1	
ENSGALG00000049882	3	61267336	61280317	-1	SMPDL3A
ENSGALG00000038515	14	3626463	3636842	1	LFNG
ENSGALG00000048749	16	1949851	1956061	-1	
ENSGALG00000005268	2	1982684	1996512	-1	SEC22C
ENSGALG00000034146	1	147272815	147273159	-1	
ENSGALG00000049443	Z	72225125	72229687	-1	
ENSGALG00000030419	7	7856153	7908623	1	GLS2
ENSGALG00000002703	6	5929986	5935003	-1	TFAM
ENSGALG00000020615	6	35838879	35863626	-1	STK32C
ENSGALG00000051432	21	1261842	1263050	-1	
ENSGALG00000040447	2	43004556	43025574	1	CDCP1
ENSGALG00000014853	3	61157421	61206950	-1	CLVS2
ENSGALG00000013940	4	65644634	65720676	1	LNX1
ENSGALG00000046217	31	4922652	4930376	-1	PIT54
ENSGALG00000038448	3	106368937	106369017	-1	MIR124-1
ENSGALG00000034905	W	5302803	5316624	1	
ENSGALG00000005840	5	9681277	9737308	1	DENND5A
ENSGALG00000051633	1	147234746	147234800	-1	
ENSGALG00000048209	19	175286	231363	1	
ENSGALG00000032721	25	3251662	3252551	1	
ENSGALG00000025188	2	1911577	1911668	1	
ENSGALG00000010761	8	25514723	25519546	1	MRPL37
ENSGALG00000047707	3	106341459	106341496	1	
ENSGALG00000025906	1	146995866	146996585	-1	HS6ST3
ENSGALG00000034326	2	42973622	42974929	1	TMEM158
ENSGALG00000014848	3	60899753	60939705	1	
ENSGALG00000049970	W	5291751	5293886	1	
ENSGALG00000004279	14	3576892	3579143	-1	GRIFIN
ENSGALG00000035569	2	96511484	96522203	1	MC2R
ENSGALG00000048310	7	15380511	15383363	1	
ENSGALG00000040847	25	3246649	3248252	1	EDQM3
ENSGALG00000053504	W	5276570	5279362	-1	
ENSGALG00000029526	25	3233114	3239750	1	
ENSGALG00000010108	4	34021280	34025895	-1	
ENSGALG00000048432	W	5213882	5215471	1	
ENSGALG00000004276	14	3534997	3541893	1	CHST12
ENSGALG00000013177	1	65359495	65418925	1	BCAT1
ENSGALG00000041311	1	146954675	146960092	1	
ENSGALG00000033766	7	15348183	15348257	1	gga-mir-7474
ENSGALG00000036728	21	1044071	1242675	-1	PRDM16
ENSGALG00000048735	2	96246593	96247600	-1	
ENSGALG00000013931	4	65475198	65496134	1	CHIC2
ENSGALG00000002701	6	5926431	5929549	-1	DNAJC9
ENSGALG00000016891	1	146937817	146938848	1	
ENSGALG00000003318	15	5262284	5281948	-1	SNRNP35
ENSGALG00000012408	5	58368967	58380737	1	PSMC6
ENSGALG00000006974	20	10753853	10760204	-1	DDX27
ENSGALG00000048969	W	5161649	5161681	1	
ENSGALG00000030596	25	3215078	3217086	1	EDYM1
ENSGALG00000051776	7	15338261	15357212	1	
ENSGALG00000010758	8	25505665	25514791	-1	
ENSGALG00000047807	31	4903146	4920106	1	DMBT1L
ENSGALG00000050342	2	96038320	96039375	1	
ENSGALG00000002152	13	4235928	4257273	-1	GABRP
ENSGALG00000002129	8	1739634	1761181	-1	WDR47
ENSGALG00000031282	2	128985552	129064019	-1	UBR5
ENSGALG00000039084	19	9173852	9177498	1	EVI2A
