Chicken_geneSymbol		Chicken_chromosome	Gene start (bp)	Gene end (bp)	Chicken_gene_name	Quail_geneSymbol	Quail_geneName	Quail_Chromosome	Japanese quail homology type	"Japanese quail orthology confidence [0 low, 1 high]"
ENSGALG00000019019		25	2580674	2588284	NTRK1	ENSCJPG00005014006	NTRK1	25	ortholog_one2one	1
ENSGALG00000013615		4	62907589	62999208	MTUS1	ENSCJPG00005010573	MTUS1	4	ortholog_one2one	1
ENSGALG00000004625		15	6419311	6462154	ATXN2	ENSCJPG00005000186	ATXN2	15	ortholog_one2one	1
ENSGALG00000000186		26	1670781	1679287	MTCH1	ENSCJPG00005009339	MTCH1	26	ortholog_one2one	1
ENSGALG00000000962		24	342462	353153	PUS3	ENSCJPG00005005547	PUS3	24	ortholog_one2one	1
ENSGALG00000007075		9	13001669	13050849	ATP13A3	ENSCJPG00005012483	ATP13A3	9	ortholog_one2one	1
ENSGALG00000035419		24	354765	382201	CDON	ENSCJPG00005005577	CDON	24	ortholog_one2one	1
ENSGALG00000000137		26	1678657	1680974	SNRPE	ENSCJPG00005009340	SNRPE	26	ortholog_one2one	1
ENSGALG00000039452		1	93831630	93850776	GJA5	ENSCJPG00005003387	GJA5	1	ortholog_one2one	1
ENSGALG00000034069		33	7312520	7316977	TMEM106C	ENSCJPG00005007927	TMEM106C	KQ966684.1	ortholog_one2one	1
ENSGALG00000015488		1	93889971	93891173	GJA8	ENSCJPG00005003388	GJA8	1	ortholog_one2one	1
ENSGALG00000009800		4	29331534	29343728	SETD7	ENSCJPG00005001153	SETD7	4	ortholog_one2one	1
ENSGALG00000017323		1	196231994	196379825	FAM168A	ENSCJPG00005006354	FAM168A	1	ortholog_one2one	1
ENSGALG00000021883		28	4433844	4437586	C19orf44	ENSCJPG00005013884	C19orf44	28	ortholog_one2one	1
ENSGALG00000011491		2	40398740	40421230	DYNC1LI1	ENSCJPG00005012832	DYNC1LI1	2	ortholog_one2one	1
ENSGALG00000016570		3	105054461	105067233		ENSCJPG00005012976		3	ortholog_one2one	1
ENSGALG00000008485		7	12138734	12173094		ENSCJPG00005015349		7	ortholog_one2one	1
ENSGALG00000013253		25	2589277	2598489	INSRR	ENSCJPG00005014004	INSRR	25	ortholog_one2one	1
ENSGALG00000008487		12	20012823	20081825	TMCC1	ENSCJPG00005020824	TMCC1	12	ortholog_one2one	1
ENSGALG00000013042		1	61867663	61967208	MICAL3	ENSCJPG00005018380	MICAL3	1	ortholog_one2one	1
ENSGALG00000001025		17	9863064	9876915	GOLGA1	ENSCJPG00005010935	GOLGA1	17	ortholog_one2one	1
ENSGALG00000013628		2	90222982	90228705	C6orf62	ENSCJPG00005007118	C6orf62	2	ortholog_one2one	1
ENSGALG00000009587		5	29263703	29530569	GPHN	ENSCJPG00005016640	GPHN	5	ortholog_one2one	1
ENSGALG00000037587		3	57331049	57364433	ENPP3	ENSCJPG00005008921	ENPP3	3	ortholog_one2one	1
ENSGALG00000008493		7	12179296	12182133	METTL21A	ENSCJPG00005015350	METTL21A	7	ortholog_one2one	1
ENSGALG00000038128		13	1638996	1671253	UBE2D2	ENSCJPG00005012262	UBE2D2	13	ortholog_one2one	1
ENSGALG00000015491		1	93900144	93923220	GPR89A	ENSCJPG00005003389		1	ortholog_one2one	1
ENSGALG00000012020		5	7054297	7162808	KIAA1549L	ENSCJPG00005015320	KIAA1549L	5	ortholog_one2one	1
ENSGALG00000041863		2	136911020	136937314	MRPL13	ENSCJPG00005005563	MRPL13	2	ortholog_one2one	1
ENSGALG00000000583		26	1695658	1714634	SOX13	ENSCJPG00005009341	SOX13	26	ortholog_one2one	1
ENSGALG00000013617		4	63002339	63021875	PDGFRL	ENSCJPG00005010574	PDGFRL	4	ortholog_one2one	1
ENSGALG00000013632		2	90236164	90240896	ACOT13	ENSCJPG00005007119	ACOT13	2	ortholog_one2one	1
ENSGALG00000003914		28	4437755	4441529	CALR3	ENSCJPG00005013885	CALR3	28	ortholog_one2one	1
ENSGALG00000000707		11	19074895	19080147	PSMD7	ENSCJPG00005000886	PSMD7	11	ortholog_one2one	1
ENSGALG00000010044		1	35937978	35948946	KCNMB4	ENSCJPG00005016047	KCNMB4	1	ortholog_one2one	1
ENSGALG00000026070		25	2598862	2602505		ENSCJPG00005014003		25	ortholog_one2one	1
ENSGALG00000000884		13	1686038	1715067	CXXC5	ENSCJPG00005012265	CXXC5	13	ortholog_one2one	1
ENSGALG00000016881		1	146022451	146033636	GPR183	ENSCJPG00005016157	GPR183	1	ortholog_one2one	1
ENSGALG00000002003		6	3229366	3305485	BMPR1A	ENSCJPG00005012357	BMPR1A	6	ortholog_one2one	1
ENSGALG00000040607		3	57369361	57403385	MED23	ENSCJPG00005008922	MED23	3	ortholog_one2one	1
ENSGALG00000000557		26	1717215	1724197	ETNK2	ENSCJPG00005009393	ETNK2	26	ortholog_one2one	1
ENSGALG00000009803		4	29358225	29368088	MGST2	ENSCJPG00005001427	MGST2	4	ortholog_one2one	1
ENSGALG00000013637		2	90240952	90248204	TDP2	ENSCJPG00005007142	TDP2	2	ortholog_one2one	1
ENSGALG00000010543		8	24411559	24454049	EPS15	ENSCJPG00005010459	EPS15	8	ortholog_one2one	1
ENSGALG00000022750		1	146060187	146065582	GPR18	ENSCJPG00005016158	GPR18	1	ortholog_one2one	1
ENSGALG00000042730		24	409708	417284	STT3A	ENSCJPG00005005693	STT3A	24	ortholog_one2one	1
ENSGALG00000030836		13	1823948	1896054	PSD2	ENSCJPG00005012267	PSD2	13	ortholog_one2one	1
ENSGALG00000013627		4	63027358	63067114	SLC7A2	ENSCJPG00005010575	SLC7A2	4	ortholog_one2one	1
ENSGALG00000000545		26	1725734	1730462	REN	ENSCJPG00005009403	REN	26	ortholog_one2one	1
ENSGALG00000049427		1	196386106	196396212	RELT	ENSCJPG00005006338	RELT	1	ortholog_one2one	1
ENSGALG00000011494		2	40442858	40472053	CNOT10	ENSCJPG00005012833	CNOT10	2	ortholog_one2one	1
ENSGALG00000008494		7	12187150	12222849	CREB1	ENSCJPG00005015351	CREB1	7	ortholog_one2one	1
ENSGALG00000045125		9	13054465	13058403	GP5	ENSCJPG00005013464	GP5	9	ortholog_one2one	1
ENSGALG00000033090		33	7324160	7351020	VDR	ENSCJPG00005007922	VDR	KQ966684.1	ortholog_one2one	1
ENSGALG00000050224		26	1732672	1735583	GOLT1A	ENSCJPG00005009405	GOLT1A	26	ortholog_one2one	1
ENSGALG00000008490		12	20107152	20111710	TRH	ENSCJPG00005020825	TRH	12	ortholog_one2one	1
ENSGALG00000033641		13	1900625	2052540	NRG2	ENSCJPG00005012340	NRG2	13	ortholog_one2one	1
ENSGALG00000000713		11	19493186	19635682	ZFHX3	ENSCJPG00005000907	ZFHX3	11	ortholog_one2one	1
ENSGALG00000047182		31	2208184	2214141	ACHE	ENSCJPG00005008302	ACHE	KQ966687.1	ortholog_one2one	1
ENSGALG00000026011		2	90395819	90410898	GALR1	ENSCJPG00005007144	GALR1	2	ortholog_one2one	1
ENSGALG00000010049		1	35964985	36023189	PTPRB	ENSCJPG00005016061	PTPRB	1	ortholog_one2one	1
ENSGALG00000046461		9	13067941	13069632	LRRC15	ENSCJPG00005013465	LRRC15	9	ortholog_one2one	1
ENSGALG00000029387		13	2072835	2073818	PURA	ENSCJPG00005012342	PURA	13	ortholog_one2one	1
ENSGALG00000011695		5	7164776	7254371	HIPK3	ENSCJPG00005015327	HIPK3	5	ortholog_one2one	1
ENSGALG00000001955		18	4373834	4377659	AANAT	ENSCJPG00005020712	AANAT	18	ortholog_one2one	1
ENSGALG00000009813		4	29619101	29627656	SCOC	ENSCJPG00005001434	SCOC	4	ortholog_one2one	1
ENSGALG00000042210		17	9887675	9889962	RABEPK	ENSCJPG00005011067	RABEPK	17	ortholog_one2one	1
ENSGALG00000008500		12	20120838	20134079	RBSN	ENSCJPG00005020826	RBSN	12	ortholog_one2one	1
ENSGALG00000034528		2	136964312	137072200	SNTB1	ENSCJPG00005005608	SNTB1	2	ortholog_one2one	1
ENSGALG00000017326		1	196400110	196613874	ARHGEF17	ENSCJPG00005006203	ARHGEF17	1	ortholog_one2one	1
ENSGALG00000038399		26	1736524	1776457	PLEKHA6	ENSCJPG00005009415	PLEKHA6	26	ortholog_one2one	1
ENSGALG00000001971		18	4379079	4426613	UBE2O	ENSCJPG00005020713	UBE2O	18	ortholog_one2one	1
ENSGALG00000028015		9	13092443	13093885	HES1	ENSCJPG00005013467	HES1	9	ortholog_one2one	1
ENSGALG00000008506		12	20135662	20138729	MRPS25	ENSCJPG00005020827	MRPS25	12	ortholog_one2one	1
ENSGALG00000016883		1	146109887	146227739	DOCK9	ENSCJPG00005016181	DOCK9	1	ortholog_one2one	1
ENSGALG00000021601		28	4442380	4476748	EPS15L1	ENSCJPG00005013902	EPS15L1	28	ortholog_one2one	1
ENSGALG00000023541		18	4429920	4435069	SPHK1	ENSCJPG00005020733	SPHK1	18	ortholog_one2one	1
ENSGALG00000000787		11	19707224	19717686	DHX38	ENSCJPG00005000992	DHX38	11	ortholog_one2one	1
ENSGALG00000009826		4	29630213	29646811	CLGN	ENSCJPG00005001437	CLGN	4	ortholog_one2one	1
ENSGALG00000037688		33	7351137	7354128	MYG1	ENSCJPG00005007919	MYG1	KQ966684.1	ortholog_one2one	1
ENSGALG00000044505		25	2602871	2608347		ENSCJPG00005014002	SH2D2A	25	ortholog_one2one	1
ENSGALG00000021539		18	4438665	4461906	PRPSAP1	ENSCJPG00005020735	PRPSAP1	18	ortholog_one2one	1
ENSGALG00000036021		4	63086800	63130477	MTMR7	ENSCJPG00005010576	MTMR7	4	ortholog_one2one	1
ENSGALG00000009830		4	29651474	29681776	MGAT4D	ENSCJPG00005001445	MGAT4D	4	ortholog_one2one	1
ENSGALG00000029596		2	137356485	137374399	HAS2	ENSCJPG00005005631	HAS2	2	ortholog_one2one	1
ENSGALG00000017327		1	196442816	196449067	P2RY6	ENSCJPG00005006202	P2RY6	1	ortholog_one2one	1
ENSGALG00000007150		9	13186707	13234803	OPA1	ENSCJPG00005013469	OPA1	9	ortholog_one2one	1
ENSGALG00000004650		15	6478762	6514166	BRAP	ENSCJPG00005000220	BRAP	15	ortholog_one2one	1
ENSGALG00000013640		2	90467903	90576864	MBP	ENSCJPG00005007160	MBP	2	ortholog_one2one	1
ENSGALG00000008501		7	12266170	12321029	KLF7	ENSCJPG00005015354	KLF7	7	ortholog_one2one	1
ENSGALG00000042908		2	528924	533328	CTC-575C13.4	ENSCJPG00005008014		2	ortholog_one2one	1
ENSGALG00000008519		12	20137521	20174947	NR2C2	ENSCJPG00005020828	NR2C2	12	ortholog_one2one	1
ENSGALG00000040696		25	2606875	2615791	PRCC	ENSCJPG00005014001	PRCC	25	ortholog_one2one	1
ENSGALG00000009836		4	29687612	29694605	ELMOD2	ENSCJPG00005001450	ELMOD2	4	ortholog_one2one	1
ENSGALG00000040877		18	4470815	4474662	UBALD2	ENSCJPG00005020736	UBALD2	18	ortholog_one2one	1
ENSGALG00000029794		3	57483132	57554676	AKAP7	ENSCJPG00005008925	AKAP7	3	ortholog_one2one	1
ENSGALG00000032843		33	7355723	7362680	AAAS	ENSCJPG00005007913	AAAS	KQ966684.1	ortholog_one2one	1
ENSGALG00000032847		25	2617131	2622609	HDGF	ENSCJPG00005014000	HDGF	25	ortholog_one2one	1
ENSGALG00000038254		6	32353434	32362063		ENSCJPG00005020166		6	ortholog_one2one	1
ENSGALG00000002008		18	4477544	4493919	RNF157	ENSCJPG00005020737	RNF157	18	ortholog_one2one	1
ENSGALG00000043827		2	137877361	137879853	ZHX2	ENSCJPG00005005698	ZHX2	2	ortholog_one2one	1
ENSGALG00000008516		7	12354370	12361679	CPO	ENSCJPG00005015355	CPO	7	ortholog_one2one	1
ENSGALG00000038188		3	57527019	57529448		ENSCJPG00005008926		3	ortholog_one2one	1
ENSGALG00000019622		2	40477423	40528745	TRIM71	ENSCJPG00005012834	TRIM71	2	ortholog_one2one	1
ENSGALG00000013646		4	63129241	63148736	VPS37A	ENSCJPG00005010577	VPS37A	4	ortholog_one2one	1
ENSGALG00000000949		13	2173845	2180352	HBEGF	ENSCJPG00005012346	HBEGF	13	ortholog_one2one	1
ENSGALG00000017329		1	196502552	196621676	FCHSD2	ENSCJPG00005005914	FCHSD2	1	ortholog_one2one	1
ENSGALG00000011685		5	7254514	7298111	CSTF3	ENSCJPG00005015332	CSTF3	5	ortholog_one2one	1
ENSGALG00000030994		25	2623109	2624227	MRPL24	ENSCJPG00005013999	MRPL24	25	ortholog_one2one	1
ENSGALG00000009855		4	29702447	29745516	TBC1D9	ENSCJPG00005001456	TBC1D9	4	ortholog_one2one	1
ENSGALG00000029714		10	20517576	20524803	UNC45A	ENSCJPG00005021161	UNC45A	10	ortholog_one2one	1
ENSGALG00000041025		18	4495739	4501676	FOXJ1	ENSCJPG00005020741	FOXJ1	18	ortholog_one2one	1
ENSGALG00000033950		2	137901055	137916461	DERL1	ENSCJPG00005005699	DERL1	2	ortholog_one2one	1
ENSGALG00000002015		6	3338993	3346509	SNCG	ENSCJPG00005012359	SNCG	6	ortholog_one2one	1
ENSGALG00000000576		25	2624337	2626380	METTL25B	ENSCJPG00005013998	METTL25B	25	ortholog_one2one	1
ENSGALG00000000802		11	19719050	19722530	DHODH	ENSCJPG00005002405		11	ortholog_one2one	1
ENSGALG00000044387		13	2185355	2201700	SLC4A9	ENSCJPG00005012347	SLC4A9	13	ortholog_one2one	1
ENSGALG00000011498		2	40558064	40579978	TCAIM	ENSCJPG00005012835	TCAIM	2	ortholog_one2one	1
ENSGALG00000008530		3	16516836	16523403	EIF4A3	ENSCJPG00005004222	EIF4A3	3	ortholog_one2one	1
ENSGALG00000015492		1	93917559	93930207	PDZK1	ENSCJPG00005003390	PDZK1	1	ortholog_one2one	1
ENSGALG00000020827		9	13237350	13270729	ATP13A4	ENSCJPG00005013470	ATP13A4	9	ortholog_one2one	1
ENSGALG00000005441		Z	31376186	31541016	NFIB	ENSCJPG00005007386		Z	ortholog_one2one	1
ENSGALG00000017330		1	196638370	196645721	RPS3	ENSCJPG00005005857	RPS3	1	ortholog_one2one	1
ENSGALG00000019286		1	62042662	62047569		ENSCJPG00005018364		1	ortholog_one2one	1
ENSGALG00000008529		7	12380240	12390798	FASTKD2	ENSCJPG00005015357	FASTKD2	7	ortholog_one2one	1
ENSGALG00000009865		4	29771882	29886214	RNF150	ENSCJPG00005001471	RNF150	4	ortholog_one2one	1
ENSGALG00000045721		25	2626869	2630717	ISG20L2	ENSCJPG00005013997	ISG20L2	25	ortholog_one2one	1
ENSGALG00000013045		1	62049179	62053565	TUBA8B	ENSCJPG00005018363		1	ortholog_one2one	1
ENSGALG00000004725		15	6505287	6514051		ENSCJPG00005000690		15	ortholog_one2one	1
ENSGALG00000003939		28	4484819	4487194	KLF2	ENSCJPG00005015176		28	ortholog_one2one	1
ENSGALG00000009868		4	29911254	29922369	ZNF330	ENSCJPG00005001476	ZNF330	4	ortholog_one2one	1
ENSGALG00000035487		33	7377090	7392549	SP1	ENSCJPG00005007894	SP1	KQ966684.1	ortholog_one2one	1
ENSGALG00000030461		6	3352386	3354716	ADIRF	ENSCJPG00005012360		6	ortholog_one2one	1
ENSGALG00000002050		18	4509081	4529515	EXOC7	ENSCJPG00005020759	EXOC7	18	ortholog_one2one	1
ENSGALG00000000993		17	9897730	9941204	GAPVD1	ENSCJPG00005011072	GAPVD1	17	ortholog_one2one	1
ENSGALG00000033790		10	20526224	20534706	MAN2A2	ENSCJPG00005000059	MAN2A2	10	ortholog_one2one	1
ENSGALG00000000636		26	1813731	1832064	MDM4	ENSCJPG00005009987	MDM4	26	ortholog_one2one	1
ENSGALG00000029140		25	2633647	2636309	CRABP2	ENSCJPG00005013995	CRABP2	25	ortholog_one2one	1
ENSGALG00000002282		3	57842516	57843985	TMEM200A	ENSCJPG00005008930	TMEM200A	3	ortholog_one2one	1
ENSGALG00000010555		8	24471404	24524761	OSBPL9	ENSCJPG00005011698	OSBPL9	8	ortholog_one2one	1
ENSGALG00000039072		25	2640456	2644375		ENSCJPG00005013994		25	ortholog_one2one	1
ENSGALG00000000011		6	32362856	32366096	C10orf88	ENSCJPG00005020167	C10orf88	6	ortholog_one2one	1
ENSGALG00000034735		6	3364213	3395369		ENSCJPG00005012361		6	ortholog_one2one	1
ENSGALG00000003959		28	4510264	4518819	AP1M1	ENSCJPG00005015181	AP1M1	28	ortholog_one2one	1
ENSGALG00000004743		15	6514818	6534275	MAPKAPK5	ENSCJPG00005007020	MAPKAPK5	15	ortholog_one2one	1
ENSGALG00000013056		1	62058137	62065268		ENSCJPG00005018362		1	ortholog_one2one	1
ENSGALG00000001099		13	2202774	2302936	ANKHD1	ENSCJPG00005012354		13	ortholog_one2one	1
ENSGALG00000000811		11	19722896	19730099	IST1	ENSCJPG00005002410	IST1	11	ortholog_one2one	1
ENSGALG00000009606		6	32367978	32382286		ENSCJPG00005020168		6	ortholog_one2one	1
ENSGALG00000040855		1	36025156	36168865	PTPRR	ENSCJPG00005016064	PTPRR	1	ortholog_one2one	1
ENSGALG00000021341		15	6541220	6543679	ADAM20	ENSCJPG00005007031		15	ortholog_one2one	1
ENSGALG00000041030		33	7403368	7415765	PCBP2	ENSCJPG00005007888	PCBP2	KQ966684.1	ortholog_one2one	1
ENSGALG00000013649		4	63148951	63169279	CNOT7	ENSCJPG00005010578	CNOT7	4	ortholog_one2one	1
ENSGALG00000045469		25	2658942	2671332	BCAN	ENSCJPG00005013992	BCAN	25	ortholog_one2one	1
ENSGALG00000028439		6	3395934	3435087	SHLD2	ENSCJPG00005012362	SHLD2	6	ortholog_one2one	1
ENSGALG00000017817		1	196642502	196642646	SNORD15	ENSCJPG00005005859	SNORD15	1	ortholog_one2one	1
ENSGALG00000037289		3	16526269	16562752	ATL2	ENSCJPG00005004409	ATL2	3	ortholog_one2one	1
ENSGALG00000017818		1	196643890	196644037	SNORD15	ENSCJPG00005005858	SNORD15	1	ortholog_one2one	1
ENSGALG00000000639		26	1842480	1844570	LRRN2	ENSCJPG00005010010	LRRN2	26	ortholog_one2one	1
ENSGALG00000009610		6	32384001	32386306	PSTK	ENSCJPG00005020169	PSTK	6	ortholog_one2one	1
ENSGALG00000004760		15	6543749	6557011	TMEM116	ENSCJPG00005007032	TMEM116	15	ortholog_one2one	1
ENSGALG00000008546		12	20187838	20274748	FGD5	ENSCJPG00005020848	FGD5	12	ortholog_one2one	1
ENSGALG00000040263		W	2397236	2407132	RPL17	ENSCJPG00005004917	RPL17	Z	ortholog_one2one	1
ENSGALG00000025564		1	196644577	196644713	SNORD15	ENSCJPG00005005855	SNORD15	1	ortholog_one2one	1
ENSGALG00000016884		1	146243004	146267048	SLC15A1	ENSCJPG00005019045	SLC15A1	1	ortholog_one2one	1
ENSGALG00000030451		33	7408725	7408899		ENSCJPG00005007891		KQ966684.1	ortholog_one2one	1
ENSGALG00000013057		1	62069663	62083647	USP18	ENSCJPG00005018361	USP18	1	ortholog_one2one	1
ENSGALG00000011688		5	7298109	7313840	TCP11L1	ENSCJPG00005015335	TCP11L1	5	ortholog_one2one	1
ENSGALG00000011214		1	196648341	196655118	SERPINH1	ENSCJPG00005005853	SERPINH1	1	ortholog_one2one	1
ENSGALG00000032289		6	32387130	32455794	IKZF5	ENSCJPG00005020170	IKZF5	6	ortholog_one2one	1
ENSGALG00000033791		33	7418420	7424048	MAP3K12	ENSCJPG00005007718	MAP3K12	KQ966684.1	ortholog_one2one	1
ENSGALG00000034030		3	57964558	58039567	L3MBTL3	ENSCJPG00005008933	L3MBTL3	3	ortholog_one2one	1
ENSGALG00000002046		6	3438309	3449439		ENSCJPG00005012363		6	ortholog_one2one	1
ENSGALG00000036474		28	4517934	4519217	FAM32A	ENSCJPG00005015426	FAM32A	28	ortholog_one2one	1
ENSGALG00000009870		4	29989429	30022148	IL15	ENSCJPG00005001485	IL15	4	ortholog_one2one	1
ENSGALG00000008562		7	12404841	12423563	DYTN	ENSCJPG00005010797		5	ortholog_one2one	1
ENSGALG00000010152		1	36249788	36266933	TSPAN8	ENSCJPG00005016081	TSPAN8	1	ortholog_one2one	1
ENSGALG00000000817		11	19730464	19742076	ZNF821	ENSCJPG00005002416	ZNF821	11	ortholog_one2one	1
ENSGALG00000031843		3	58109966	58167330	ARHGAP18	ENSCJPG00005008936	ARHGAP18	3	ortholog_one2one	1
ENSGALG00000008341		10	20543114	20554250	FURIN	ENSCJPG00005000344	FURIN	10	ortholog_one2one	1
ENSGALG00000013655		4	63178948	63206134	ZDHHC2	ENSCJPG00005010579	ZDHHC2	4	ortholog_one2one	1
ENSGALG00000043930		2	597492	600327		ENSCJPG00005008057	TIGD3	2	ortholog_one2one	1
ENSGALG00000003978		28	4519896	4523865	CIB3	ENSCJPG00005015427	CIB3	28	ortholog_one2one	1
ENSGALG00000038097		24	417755	426121	EI24	ENSCJPG00005005702	EI24	24	ortholog_one2one	1
ENSGALG00000013234		25	2672117	2674826	HAPLN2	ENSCJPG00005013991	HAPLN2	25	ortholog_one2one	1
ENSGALG00000041417		6	32401514	32418773	ACADSB	ENSCJPG00005020171	ACADSB	6	ortholog_one2one	1
ENSGALG00000047720		21	44841	47072	KLHDC7A	ENSCJPG00005007332	KLHDC7A	21	ortholog_one2one	1
ENSGALG00000029007		Z	31502873	31503051		ENSCJPG00005007607		Z	ortholog_one2one	1
ENSGALG00000038657		2	613636	620567	ZNF777	ENSCJPG00005008061	ZNF777	2	ortholog_one2one	1
ENSGALG00000002048		6	3471874	3474857	GPRIN2	ENSCJPG00005012364		6	ortholog_one2one	1
ENSGALG00000013661		4	63215055	63261190	MICU3	ENSCJPG00005010580	MICU3	4	ortholog_one2one	1
ENSGALG00000037479		21	51064	84269	IGSF21	ENSCJPG00005007333	IGSF21	21	ortholog_one2one	1
ENSGALG00000034967		1	196720426	196844343	GDPD5	ENSCJPG00005005849	GDPD5	1	ortholog_one2one	1
ENSGALG00000011681		5	7315554	7323897	DEPDC7	ENSCJPG00005015337	DEPDC7	5	ortholog_one2one	1
ENSGALG00000002066		6	3479797	3488573	NCOA4	ENSCJPG00005012365	NCOA4	6	ortholog_one2one	1
ENSGALG00000023510		15	6557193	6561304	ERP29	ENSCJPG00005007033	ERP29	15	ortholog_one2one	1
ENSGALG00000027428		Z	31657206	31700849	ZDHHC21	ENSCJPG00005007576	ZDHHC21	Z	ortholog_one2one	1
ENSGALG00000008582		7	12447136	12519795	ADAM23	ENSCJPG00005015363	ADAM23	7	ortholog_one2one	1
ENSGALG00000010163		1	36352208	36436218	LGR5	ENSCJPG00005016087	LGR5	1	ortholog_one2one	1
ENSGALG00000048019		33	7428393	7429491		ENSCJPG00005007716		KQ966684.1	ortholog_one2one	1
ENSGALG00000045940		3	105078987	105090249		ENSCJPG00005012977		3	ortholog_one2one	1
ENSGALG00000032606		33	7432548	7433412		ENSCJPG00005007715		KQ966684.1	ortholog_one2one	1
ENSGALG00000013232		25	2675996	2680461	RHBG	ENSCJPG00005013990		25	ortholog_one2one	1
ENSGALG00000028851		28	4524693	4537499	RAB8A	ENSCJPG00005015428	RAB8A	28	ortholog_one2one	1
ENSGALG00000031776		26	1900570	1977064	NFASC	ENSCJPG00005010027	NFASC	26	ortholog_one2one	1
ENSGALG00000010177		1	36454512	36492133	ZFC3H1	ENSCJPG00005016088	ZFC3H1	1	ortholog_one2one	1
ENSGALG00000039134		33	7434990	7463320		ENSCJPG00005007711		KQ966684.1	ortholog_one2one	1
ENSGALG00000023415		6	32447795	32448904	HMX3	ENSCJPG00005020174	HMX3	6	ortholog_one2one	1
ENSGALG00000013663		4	63267129	63271376	FGF20	ENSCJPG00005010581	FGF20	4	ortholog_one2one	1
ENSGALG00000041821		15	6563515	6588861	NAA25	ENSCJPG00005007035	NAA25	15	ortholog_one2one	1
ENSGALG00000030460		2	137916482	137941263	TBC1D31	ENSCJPG00005005701	TBC1D31	2	ortholog_one2one	1
ENSGALG00000030875		6	32456013	32457729	HMX2	ENSCJPG00005020175	HMX2	6	ortholog_one2one	1
ENSGALG00000007193		9	13303068	13305862		ENSCJPG00005013552		9	ortholog_one2one	1
ENSGALG00000005265		5	7436058	7495397	SYT9	ENSCJPG00005018598	SYT9	5	ortholog_one2one	1
ENSGALG00000028253		11	19748636	19750708	ATXN1L	ENSCJPG00005002418	ATXN1L	11	ortholog_one2one	1
ENSGALG00000041748		2	137945143	137954809	FAM83A	ENSCJPG00005005727	FAM83A	2	ortholog_one2one	1
ENSGALG00000016580		3	105090968	105109766	SCARA5	ENSCJPG00005012978	SCARA5	3	ortholog_one2one	1
ENSGALG00000009681		6	32458807	32470396	BUB3	ENSCJPG00005020176	BUB3	6	ortholog_one2one	1
ENSGALG00000000848		11	19764265	19793120	AP1G1	ENSCJPG00005002484	AP1G1	11	ortholog_one2one	1
ENSGALG00000030759		24	428137	437185	SRPRA	ENSCJPG00005005708	SRPRA	24	ortholog_one2one	1
ENSGALG00000013674		4	63620950	63732824	TUSC3	ENSCJPG00005010583	TUSC3	4	ortholog_one2one	1
ENSGALG00000027184		5	7557383	7566023	OLFML1	ENSCJPG00005018599	OLFML1	5	ortholog_one2one	1
ENSGALG00000039590		2	137959944	137968039		ENSCJPG00005005730		2	ortholog_one2one	1
ENSGALG00000009880		4	30075344	30313807	INPP4B	ENSCJPG00005001499	INPP4B	4	ortholog_one2one	1
ENSGALG00000043128		21	135941	156749	ARHGEF10L	ENSCJPG00005007334	ARHGEF10L	21	ortholog_one2one	1
ENSGALG00000041783		1	36512612	36525747	TMEM19	ENSCJPG00005016089	TMEM19	1	ortholog_one2one	1
ENSGALG00000036082		33	7539365	7542378	HOXC13	ENSCJPG00005007704	HOXC13	KQ966684.1	ortholog_one2one	1
ENSGALG00000038469		2	629830	642787	CDC25A	ENSCJPG00005008072	CDC25A	2	ortholog_one2one	1
ENSGALG00000028295		10	20557985	20562103	MFAP1	ENSCJPG00005000359	MFAP1	10	ortholog_one2one	1
ENSGALG00000002089		6	3490435	3508014		ENSCJPG00005012366		6	ortholog_one2one	1
ENSGALG00000017332		1	196850267	196856462	KLHL35	ENSCJPG00005005731	KLHL35	1	ortholog_one2one	1
ENSGALG00000008504		3	16580199	16608452	HNRNPLL	ENSCJPG00005004410	HNRNPLL	3	ortholog_one2one	1
ENSGALG00000007441		1	196900378	196929712	MAP6	ENSCJPG00005005729	MAP6	1	ortholog_one2one	1
ENSGALG00000005294		5	7591669	7664920	PPFIBP2	ENSCJPG00005018604	PPFIBP2	5	ortholog_one2one	1
ENSGALG00000037787		25	2742938	2796048	MEF2D	ENSCJPG00005013988	MEF2D	25	ortholog_one2one	1
ENSGALG00000014537		5	29608119	29626791	BMF	ENSCJPG00005016638	BMF	5	ortholog_one2one	1
ENSGALG00000010183		1	36551880	36564012	RAB21	ENSCJPG00005016095	RAB21	1	ortholog_one2one	1
ENSGALG00000008589		7	12555296	12570730	CMKLR2	ENSCJPG00005015367	CMKLR2	7	ortholog_one2one	1
ENSGALG00000045122		1	62104591	62113753	AKR1B1	ENSCJPG00005018360		1	ortholog_one2one	1
ENSGALG00000040363		2	40792849	40822455	ABHD4	ENSCJPG00005012839	ABHD5	2	ortholog_one2one	1
ENSGALG00000014170		1	196939707	196956041	MOGAT2	ENSCJPG00005005728	MOGAT2	1	ortholog_one2one	1
ENSGALG00000031684		21	159830	167820	RCC2	ENSCJPG00005007335	RCC2	21	ortholog_one2one	1
ENSGALG00000034999		2	137983356	137985977	ZHX1	ENSCJPG00005005732	ZHX1	2	ortholog_one2one	1
ENSGALG00000002563		28	4532733	4540968	TPM4	ENSCJPG00005015429	TPM4	28	ortholog_one2one	1
ENSGALG00000043208		15	6590284	6599691	TRAFD1	ENSCJPG00005007337		15	ortholog_one2one	1
